publisher,topic_label,mean_sentiment,median_sentiment,std_sentiment,n_articles
The Washington Times,15_lamb_republican_mr_race,0.7980666666666667,0.9273,0.3395982442534119,9
Daily Mail,39_electric_range_charging_cars,0.8037000000000001,0.8037000000000001,0.19586857838867364,2
The Washington Times,5_halloween_pumpkin_trick_moon,0.8068,0.8068,,1
Le Monde,45_amb_més_cementerios_tots,0.824,0.824,,1
The BBC,19_album_ich_lucky_woodward,0.8349,0.8349,,1
i,-1_er_dass_000_year,0.84519,0.96305,0.35701715629488856,10
The BBC,6_prozent_pour_ne_sont,0.8462,0.8462,,1
Euronews (EN),1_biden_trump_president_joe,0.8807,0.8807,,1
The BBC,2_students_university_school_student,0.8809,0.8809,0.08259007204258877,2
CNBC,31_credit_gen_retirement_muscle,0.8902333333333333,0.9834,0.17283848915485625,3
CNBC,18_jet_ber_flight_flughafen,0.8904,0.8904,0.08555992052357225,2
Daily Mail,16_voters_trump_democrats_vote,0.8924,0.8924,,1
The Telegraph,1_biden_trump_president_joe,0.8927499999999999,0.8927499999999999,0.10571246378738887,2
Business Insider,43_market cap_ticker_cap_market,0.903,0.903,0.12077383822666232,2
Daily Mail,4_murder_county_year old_death,0.9041,0.9041,,1
i,16_voters_trump_democrats_vote,0.9075,0.9075,,1
The Sun,23_vs_bundesliga_gegen_stuttgart,0.9118,0.9118,,1
Daily Mail,7_plants_garden_binoculars_flowers,0.9175500000000001,0.9175500000000001,0.03754737008100574,2
Le Monde,8_nizza_nice_frankreich_notre,0.9274,0.9274,,1
Fox News,25_cup_england_united_world cup,0.9326,0.9326,,1
Business Insider,31_credit_gen_retirement_muscle,0.9413,0.9413,,1
Spiegel Online,14_pakistan_macron_khan_islam,0.9433,0.9433,,1
The Telegraph,44_pubs_pub_león_castilla león,0.9492,0.9492,,1
i,32_cannabis_art_terry_talbot,0.9507,0.9507,,1
The Telegraph,28_christmas_gift_calendar_ll,0.952325,0.99415,0.08482681867585669,4
The Telegraph,36_men_mujeres_paz_women,0.9524,0.9524,,1
Euronews (EN),6_prozent_pour_ne_sont,0.9527,0.9527,,1
es,18_jet_ber_flight_flughafen,0.9531,0.9531,,1
Fox News,16_voters_trump_democrats_vote,0.9561999999999999,0.9561999999999999,0.030971277015970786,2
i,46_europa_morales_proteste_muerte,0.959,0.959,,1
Euronews (EN),10_je_kultur_art_ich,0.95995,0.9556,0.023120914053442233,4
The Sun,19_album_ich_lucky_woodward,0.96305,0.96305,0.027506453788156693,2
The Sun,25_cup_england_united_world cup,0.9633,0.9633,,1
CNBC,42_says_kandidaten_électorat_etats,0.9645,0.9645,,1
The Telegraph,30_myers_franklin_team_nfl,0.9668,0.9668,,1
i,47_maßnahmen_allemagne_parteitag_scottish,0.9676,0.9676,,1
Daily Mail,25_cup_england_united_world cup,0.9699,0.9699,,1
i,17_cases_vitamin_covid_covid 19,0.9719,0.9719,,1
i,1_biden_trump_president_joe,0.9735,0.9735,,1
CNBC,30_myers_franklin_team_nfl,0.9744,0.9744,,1
The Sun,7_plants_garden_binoculars_flowers,0.9746,0.9746,,1
i,2_students_university_school_student,0.97475,0.97475,0.014778531726798785,2
i,19_album_ich_lucky_woodward,0.97805,0.98255,0.015048920227046174,4
The Washington Times,14_pakistan_macron_khan_islam,0.9823,0.9823,,1
Euronews (EN),25_cup_england_united_world cup,0.9833,0.9833,,1
The Sun,35_ich_ruth_frauen_familia,0.9849,0.9849,,1
Daily Mail,35_ich_ruth_frauen_familia,0.9849,0.9849,,1
Daily Mail,20_land_africa_south_opposition,0.9886,0.9886,,1
Business Insider,38_course_class_online_courses,0.989075,0.9893000000000001,0.00515911121913734,8
The Sun,5_halloween_pumpkin_trick_moon,0.989125,0.98845,0.006140236151810431,4
Daily Mail,43_market cap_ticker_cap_market,0.9899,0.9899,,1
The Telegraph,27_show_nathan_sister_series,0.9909,0.9909,,1
The Sun,31_credit_gen_retirement_muscle,0.9931,0.9931,,1
Business Insider,28_christmas_gift_calendar_ll,0.9954000000000001,0.9955,0.00154790180567113,6
